1,1,0,0,8
0,1,1,0,8
1,-1,1,0,8
1,1,1,2,10
0,1,2,2,10
1,-1,2,2,10
0,-1,2,1,10
1,1,1,2,10
1,1,1,0,14
0,-1,1,0,14
2,-1,0,0,14
2,-1,0,0,13
0,1,1,0,12
2,-1,1,0,12
1,1,1,1,11
2,-1,1,1,11
0,-1,1,1,10
1,-1,0,1,10
0,1,1,0,10
1,-1,1,0,10
1,-1,0,0,21
0,-1,1,0,21
2,1,1,0,21
2,1,1,0,20
1,1,1,0,19
1,1,1,1,22
0,-1,1,1,22
1,-1,0,1,22
0,1,1,0,22
1,1,1,1,22
1,-1,1,0,21
2,-1,1,0,22
0,-1,2,0,22
2,-1,2,0,23
1,-1,2,1,23
0,1,2,1,23
0,1,1,1,23
1,1,0,1,23
0,-1,1,0,23
2,-1,1,0,24
0,1,1,0,24
1,1,0,0,24
0,-1,4,1,27
1,1,4,1,27
2,1,4,0,27
1,-1,4,1,26
0,1,4,1,26
2,-1,3,1,27
0,-1,4,1,27
2,1,1,3,26
0,-1,2,3,25
2,-1,2,3,26
0,-1,3,3,26
0,-1,4,3,26
1,1,4,3,26
0,1,4,2,26
1,1,3,2,26
1,1,3,1,26
2,1,3,0,26
1,-1,3,1,25
0,-1,4,1,25
2,-1,4,1,26
0,-1,5,1,26
2,1,5,1,26
0,-1,6,1,25
1,-1,6,2,25
2,-1,6,2,26
0,1,6,2,26
1,-1,5,3,26
2,-1,5,3,27
0,-1,6,3,27
2,1,6,3,27
1,-1,6,4,26
0,-1,7,4,26
1,1,7,4,26
1,1,7,3,26
0,-1,8,2,26
1,1,8,2,26
2,-1,8,1,27
1,-1,8,2,27
0,1,8,2,27
1,1,7,2,27
2,-1,7,1,28
1,1,7,1,28
0,1,7,0,28
1,-1,6,1,28
0,1,6,1,28
0,1,5,1,28
0,1,4,1,28
1,-1,3,2,28
0,1,3,2,28
1,-1,2,3,28
2,1,2,3,28
0,1,2,3,27
2,1,1,3,27
2,1,1,3,26
0,1,4,3,24
0,1,3,3,24
1,-1,2,4,24
2,1,2,4,24
1,-1,2,5,23
0,-1,3,5,23
1,1,3,5,23
0,-1,4,4,23
2,-1,4,4,24
1,1,4,4,24
0,1,4,3,24
0,1,7,4,21
1,-1,6,5,21
0,-1,7,5,21
1,1,7,5,21
0,1,7,4,21
2,-1,6,3,21
1,-1,6,4,21
2,1,6,4,21
0,-1,7,4,20
1,1,7,4,20
0,1,7,3,20
2,-1,6,3,21
1,1,6,2,23
1,1,6,1,23
2,-1,6,0,24
1,-1,6,1,24
0,1,6,1,24
1,-1,5,2,24
0,1,5,2,24
1,-1,4,3,24
2,1,4,3,24
0,-1,5,3,23
1,1,5,3,23
0,-1,6,2,23
1,1,6,2,23
1,-1,3,0,26
2,-1,3,0,27
1,-1,3,1,27
0,1,3,1,27
0,1,2,1,27
0,1,1,1,27
1,1,0,1,27
0,-1,1,0,27
2,1,1,0,27
0,1,1,0,26
2,1,0,0,26
0,-1,1,0,25
0,-1,2,0,25
2,1,2,0,25
1,-1,2,1,24
0,1,2,1,24
0,1,1,1,24
2,-1,0,1,25
1,-1,0,2,25
2,-1,0,2,26
1,-1,0,3,26
1,-1,0,4,26
2,1,0,4,26
1,1,0,4,25
2,1,0,3,25
1,1,0,3,24
0,-1,1,2,24
1,-1,1,3,24
2,-1,1,3,25
1,1,1,3,25
1,1,1,2,25
0,-1,2,1,25
1,-1,2,2,25
0,-1,3,2,25
2,1,3,2,25
1,-1,3,3,24
2,1,3,3,24
0,1,3,3,23
1,1,2,3,23
1,1,2,2,23
0,-1,3,1,23
2,1,3,1,23
0,1,3,1,22
2,1,2,1,22
1,1,2,1,21
1,1,2,0,21
1,1,0,0,29
0,1,1,0,29
1,-1,1,0,29
0,-1,1,3,32
2,1,1,3,32
0,1,1,3,31
1,-1,0,4,31
2,1,0,4,31
0,-1,1,4,30
2,-1,1,4,31
2,-1,1,4,32
1,-1,1,5,32
0,1,1,5,32
1,1,0,5,32
1,1,0,4,32
0,-1,1,3,32
1,1,0,1,31
0,-1,1,0,31
2,-1,1,0,32
1,-1,1,1,32
0,1,1,1,32
2,1,0,1,32
1,1,0,1,31
0,1,2,0,34
1,-1,1,1,34
0,-1,2,1,34
1,1,2,1,34
0,1,2,0,34
1,-1,0,0,34
0,-1,1,0,34
1,1,1,0,34
1,1,0,0,35
0,1,1,0,35
1,-1,1,0,35
1,-1,0,0,36
0,-1,1,0,36
1,1,1,0,36
1,1,0,0,37
0,1,1,0,37
2,1,1,0,38
1,1,1,1,38
0,1,2,1,38
2,-1,2,1,38
0,1,3,1,37
1,1,3,2,37
0,-1,3,2,37
2,-1,2,2,37
1,-1,2,2,36
0,1,3,1,36
1,-1,3,1,36
1,-1,3,0,36
